Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18022022,582721270,0001941
Trade Date <18-FEB-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1361,PRITIKAUTO,EQ,165382,139058,84.08
20,1362,PRIVISCL,EQ,12944,6748,52.13
20,1363,PROLIFE,SM,9000,9000,100.00
20,1364,PRSMJOHNSN,EQ,206841,95847,46.34
20,1365,PSB,EQ,317637,157279,49.52
20,1366,PSPPROJECT,EQ,148606,47419,31.91
20,1367,PSUBNKBEES,EQ,260722,140466,53.88
20,1368,PTC,EQ,503403,269041,53.44
20,1369,PTL,EQ,129780,89353,68.85
20,1370,PULZ,SM,4000,4000,100.00
20,1371,PUNJABCHEM,EQ,4470,2146,48.01
20,1372,PURVA,EQ,133962,67967,50.74
20,1373,PVP,EQ,288693,174796,60.55
20,1374,PVR,EQ,571351,184345,32.26
20,1375,QGOLDHALF,EQ,26883,24560,91.36
20,1376,QNIFTY,EQ,66,57,86.36
20,1377,QUADPRO,SM,6000,6000,100.00
20,1378,QUESS,EQ,1584994,272746,17.21
20,1379,QUICKHEAL,EQ,44917,18364,40.88
20,1380,RADICO,EQ,275756,76006,27.56
20,1381,RADIOCITY,EQ,134392,122789,91.37
20,1382,RAILTEL,EQ,446285,277125,62.10
20,1383,RAIN,EQ,1186732,302427,25.48
20,1384,RAJESHEXPO,EQ,46147,17592,38.12
20,1385,RAJMET,EQ,7534,3972,52.72
20,1386,RALLIS,EQ,230875,54892,23.78
20,1387,RAMANEWS,EQ,64159,44797,69.82
20,1388,RAMASTEEL,EQ,49020,24511,50.00
20,1389,RAMCOCEM,EQ,167278,59904,35.81
20,1390,RAMCOIND,EQ,451716,76241,16.88
20,1391,RAMCOSYS,EQ,90736,29019,31.98
20,1392,RAMKY,EQ,175977,108558,61.69
20,1393,RANASUG,EQ,928400,508830,54.81
20,1394,RANEENGINE,EQ,1799,590,32.80
20,1395,RANEHOLDIN,EQ,16705,14803,88.61
20,1396,RATEGAIN,EQ,288788,83703,28.98
20,1397,RATNAMANI,EQ,13109,4984,38.02
20,1398,RAYMOND,EQ,630830,147097,23.32
20,1399,RBA,EQ,2287808,1534442,67.07
20,1400,RBL,EQ,5022,1881,37.46
20,1401,RBLBANK,EQ,9085745,804827,8.86
20,1402,RCF,EQ,936317,354123,37.82
20,1403,RECLTD,EQ,4597806,2384719,51.87
20,1404,RECLTD,N3,1,1,100.00
20,1405,RECLTD,N6,3,3,100.00
20,1406,RECLTD,N8,100,100,100.00
20,1407,RECLTD,N9,1120,1020,91.07
20,1408,RECLTD,NF,100,100,100.00
20,1409,RECLTD,NH,21,21,100.00
20,1410,RECLTD,NI,55,55,100.00
20,1411,REDINGTON,EQ,1741134,888643,51.04
20,1412,REFEX,EQ,63944,28724,44.92
20,1413,RELAXO,EQ,49420,18045,36.51
20,1414,RELCAPITAL,EQ,1085309,470549,43.36
20,1415,RELIANCE,EQ,3126873,1216161,38.89
20,1416,RELIGARE,EQ,235292,126233,53.65
20,1417,RELINFRA,EQ,3668594,1718931,46.86
20,1418,REMSONSIND,EQ,5202,289,5.56
20,1419,RENUKA,EQ,5285082,2504473,47.39
20,1420,REPCOHOME,EQ,787449,283891,36.05
20,1421,REPL,EQ,48335,22403,46.35
20,1422,REPRO,EQ,1491,1003,67.27
20,1423,RESPONIND,EQ,289071,61701,21.34
20,1424,REVATHI,EQ,949,579,61.01
20,1425,REXPIPES,SM,40000,28000,70.00
20,1426,RGL,EQ,43255,9228,21.33
20,1427,RHFL,N6,180,160,88.89
20,1428,RHFL,N8,238,193,81.09
20,1429,RHIM,EQ,359841,136831,38.03
20,1430,RICOAUTO,EQ,119500,61365,51.35
20,1431,RIIL,EQ,278803,48056,17.24
20,1432,RITES,EQ,129016,76439,59.25
20,1433,RKEC,EQ,15227,12820,84.19
20,1434,RKFORGE,EQ,43919,21179,48.22
20,1435,RML,EQ,34290,20145,58.75
20,1436,ROHLTD,EQ,517604,272142,52.58
